iter	Logloss
0	0.6490221628
1	0.6126806143
2	0.5809451653
3	0.5508243619
4	0.5161665081
5	0.489064769
6	0.4728384018
7	0.4589373503
8	0.4414241175
9	0.4309990822
10	0.4217567341
11	0.4133249078
12	0.4064504097
13	0.3990448171
14	0.3929137938
15	0.3880967879
16	0.3833191014
17	0.3770680169
18	0.3712854514
19	0.3670866014
20	0.3553401604
21	0.3492764747
22	0.3458750982
23	0.3386920021
24	0.3344957801
25	0.3273921162
26	0.3231717887
27	0.3196368487
28	0.3148471063
29	0.3122173717
30	0.3092681607
31	0.3065567937
32	0.3046064616
33	0.2986823179
34	0.2968023702
35	0.2950246182
36	0.2899333723
37	0.2866676545
38	0.281029025
39	0.27852304
40	0.276514427
41	0.2732318657
42	0.2713421053
43	0.2681041528
44	0.2668634889
45	0.2647354329
46	0.26209278
47	0.2596828627
48	0.2575095568
49	0.2540930656
50	0.2524496103
51	0.2509302038
52	0.2493422749
53	0.2476032819
54	0.2458633609
55	0.2444954494
56	0.2432961332
57	0.2425264578
58	0.241147454
59	0.2394591745
60	0.2368490534
61	0.2356005945
62	0.2338986869
63	0.2322809083
64	0.2312187632
65	0.2303841729
66	0.2291584113
67	0.2271835669
68	0.2260193735
69	0.2241772465
70	0.2235787086
71	0.2224747693
72	0.2214094009
73	0.2202522721
74	0.2190431772
75	0.2181884175
76	0.2172741094
77	0.2163695627
78	0.2152902737
79	0.2146994279
80	0.2140585869
81	0.2126531674
82	0.2118168798
83	0.2110809253
84	0.2095182412
85	0.2086363207
86	0.2079101457
87	0.2070658213
88	0.2061033316
89	0.2053458506
90	0.2044586763
91	0.2019092481
92	0.2012490773
93	0.2006622581
94	0.1996391977
95	0.1981297328
96	0.1975370163
97	0.1967303039
98	0.1959896078
99	0.1946609425
100	0.1935204297
101	0.1928589437
102	0.1917251905
103	0.1907887529
104	0.1899979237
105	0.1892913793
106	0.1887034094
107	0.1880405999
108	0.1857829527
109	0.1849516584
110	0.1842533925
111	0.1836429929
112	0.1828773078
113	0.1823603334
114	0.1814556267
115	0.1801294996
116	0.1796332229
117	0.1792390207
118	0.1780890353
119	0.1775229287
120	0.1768044382
121	0.1760353068
122	0.1753926434
123	0.1747595976
124	0.1741882367
125	0.1734510843
126	0.1726130656
127	0.1719243298
128	0.1712278446
129	0.1703649849
130	0.1696211349
131	0.1687995225
132	0.1682842613
133	0.1677653669
134	0.1666729129
135	0.1662140146
136	0.165778262
137	0.1650717942
138	0.1645241378
139	0.1640572358
140	0.1637057727
141	0.1628738689
142	0.1622787345
143	0.1619798009
144	0.1614877505
145	0.1609567461
146	0.1604382717
147	0.159955197
148	0.1591977537
149	0.158641268
150	0.1582152092
151	0.1578933974
152	0.1574697569
153	0.1569272554
154	0.1561147717
155	0.1556490628
156	0.1550763274
157	0.1545321019
158	0.154078478
159	0.1534412801
160	0.1528605842
161	0.1522740756
162	0.1516571188
163	0.1513182019
164	0.1506148202
165	0.1499286949
166	0.1496159063
167	0.1489039369
168	0.1482971618
169	0.1478823864
170	0.1473723836
171	0.1469399455
172	0.1465808618
173	0.1459417712
174	0.1457018797
175	0.1452167545
176	0.1444315018
177	0.1439752691
178	0.1436802468
179	0.1427283736
180	0.1423639735
181	0.1419015516
182	0.1414463587
183	0.1412008691
184	0.1407537549
185	0.1402297766
186	0.1398074521
187	0.1396392786
188	0.1391484406
189	0.1388690553
190	0.1383785267
191	0.1377585059
192	0.1373001796
193	0.1369130497
194	0.1362616733
195	0.135996728
196	0.1357253421
197	0.1351404136
198	0.1346102533
199	0.1342579573
200	0.1335912785
201	0.1328861677
202	0.1324861081
203	0.1321437382
204	0.1318329281
205	0.1314680788
206	0.1311426291
207	0.1309195293
208	0.1305110872
209	0.1299997129
210	0.129513117
211	0.1290252131
212	0.128639205
213	0.1282663761
214	0.1279216339
215	0.1275395167
216	0.1270816975
217	0.1266881744
218	0.1261893954
219	0.1257027825
220	0.1253277538
221	0.1249925038
222	0.1243566958
223	0.1240611144
224	0.1236880833
225	0.1234559386
226	0.1231132574
227	0.1228882995
228	0.1224687117
229	0.1221224754
230	0.121794016
