iter	Passed	Remaining
0	20	10326
1	41	10351
2	60	10010
3	78	9713
4	94	9402
5	113	9317
6	131	9276
7	148	9149
8	167	9112
9	186	9116
10	203	9064
11	221	9002
12	238	8946
13	255	8883
14	273	8848
15	291	8827
16	310	8810
17	327	8762
18	344	8724
19	361	8680
20	379	8649
21	397	8638
22	418	8670
23	435	8645
24	454	8626
25	472	8615
26	489	8571
27	508	8570
28	526	8549
29	543	8514
30	560	8483
31	578	8465
32	597	8453
33	616	8443
34	634	8428
35	650	8385
36	668	8365
37	688	8372
38	706	8354
39	725	8341
40	745	8341
41	761	8306
42	779	8284
43	798	8274
44	817	8267
45	835	8244
46	853	8229
47	873	8226
48	894	8230
49	914	8229
50	933	8215
51	950	8191
52	971	8189
53	989	8175
54	1010	8178
55	1031	8174
56	1050	8160
57	1069	8150
58	1090	8148
59	1108	8131
60	1128	8121
61	1147	8107
62	1168	8108
63	1185	8073
64	1203	8056
65	1221	8031
66	1239	8009
67	1259	8000
68	1279	7989
69	1297	7972
70	1313	7937
71	1327	7889
72	1340	7843
73	1356	7809
74	1372	7776
75	1389	7751
76	1404	7714
77	1420	7687
78	1435	7652
79	1450	7615
80	1465	7581
81	1479	7540
82	1497	7522
83	1511	7487
84	1530	7474
85	1548	7456
86	1566	7435
87	1584	7418
88	1603	7403
89	1621	7386
90	1641	7375
91	1657	7351
92	1675	7334
93	1693	7315
94	1712	7299
95	1732	7292
96	1750	7270
97	1768	7254
98	1785	7230
99	1805	7220
100	1832	7238
101	1853	7233
102	1875	7229
103	1891	7201
104	1908	7180
105	1925	7155
106	1945	7145
107	1963	7126
108	1985	7122
109	2008	7120
110	2031	7119
111	2055	7119
112	2077	7113
113	2101	7114
114	2123	7108
115	2143	7095
116	2166	7091
117	2189	7087
118	2209	7075
119	2229	7060
120	2248	7041
121	2264	7017
122	2282	6996
123	2301	6977
124	2321	6964
125	2339	6942
126	2357	6923
127	2375	6904
128	2395	6888
129	2414	6872
130	2432	6851
131	2450	6831
132	2469	6814
133	2486	6792
134	2505	6773
135	2523	6754
136	2543	6739
137	2562	6722
138	2581	6703
139	2600	6686
140	2616	6662
141	2634	6642
142	2656	6631
143	2675	6613
144	2693	6595
145	2716	6587
146	2735	6567
147	2753	6549
148	2772	6531
149	2790	6511
150	2808	6491
151	2826	6471
152	2844	6451
153	2863	6434
154	2882	6416
155	2900	6396
156	2919	6378
157	2936	6355
158	2955	6338
159	2975	6322
160	2994	6304
161	3012	6285
162	3032	6269
163	3050	6249
164	3069	6232
165	3088	6213
166	3106	6194
167	3126	6177
168	3145	6160
169	3164	6142
170	3183	6124
171	3201	6106
172	3220	6087
173	3239	6069
174	3257	6050
175	3274	6027
176	3292	6008
177	3310	5988
178	3329	5971
179	3349	5954
180	3366	5933
181	3383	5912
182	3401	5892
183	3418	5871
184	3436	5851
185	3452	5827
186	3472	5812
187	3492	5796
188	3514	5782
189	3536	5770
190	3555	5751
191	3571	5728
192	3588	5707
193	3603	5683
194	3619	5661
195	3634	5637
196	3651	5615
197	3667	5593
198	3686	5576
199	3701	5552
200	3716	5528
201	3734	5508
202	3750	5487
203	3769	5469
204	3788	5452
205	3812	5440
206	3830	5421
207	3849	5403
208	3868	5386
209	3887	5368
210	3906	5350
211	3924	5331
212	3944	5314
213	3964	5298
214	3984	5281
215	4003	5263
216	4020	5243
217	4040	5226
218	4059	5208
219	4077	5189
220	4095	5170
221	4113	5151
222	4132	5132
223	4151	5114
224	4169	5096
225	4188	5078
226	4207	5060
227	4225	5040
228	4244	5023
229	4263	5004
230	4282	4986
231	4300	4967
232	4318	4949
233	4337	4931
234	4357	4913
235	4377	4896
236	4395	4877
237	4414	4859
238	4433	4841
239	4450	4821
240	4468	4802
241	4487	4783
242	4507	4767
243	4529	4752
244	4549	4735
245	4569	4718
246	4590	4701
247	4610	4685
248	4632	4669
249	4653	4653
250	4671	4634
251	4690	4616
252	4710	4598
253	4729	4580
254	4750	4564
255	4769	4545
256	4788	4527
257	4806	4508
258	4824	4489
259	4843	4471
260	4863	4453
261	4882	4435
262	4901	4416
263	4919	4398
264	4938	4379
265	4956	4360
266	4975	4342
267	4993	4322
268	5013	4304
269	5030	4285
270	5048	4265
271	5068	4248
272	5085	4228
273	5102	4208
274	5120	4189
275	5138	4170
276	5155	4150
277	5173	4131
278	5191	4112
279	5209	4093
280	5229	4075
281	5248	4057
282	5268	4039
283	5287	4021
284	5306	4002
285	5322	3982
286	5339	3962
287	5359	3945
288	5379	3927
289	5398	3909
290	5417	3890
291	5435	3871
292	5455	3854
293	5471	3833
294	5489	3815
295	5506	3794
296	5521	3773
297	5539	3754
298	5557	3735
299	5575	3716
300	5592	3697
301	5612	3679
302	5629	3660
303	5647	3641
304	5666	3622
305	5684	3604
306	5703	3585
307	5722	3567
308	5742	3549
309	5762	3531
310	5781	3513
311	5804	3497
312	5822	3478
313	5837	3457
314	5853	3437
315	5868	3416
316	5884	3397
317	5901	3377
318	5917	3357
319	5935	3338
320	5950	3318
321	5963	3296
322	5979	3276
323	5997	3258
324	6014	3238
325	6029	3218
326	6048	3200
327	6066	3181
328	6084	3162
329	6103	3144
330	6122	3126
331	6141	3107
332	6158	3088
333	6176	3069
334	6194	3051
335	6212	3032
336	6231	3013
337	6249	2995
338	6268	2977
339	6288	2959
340	6307	2940
341	6326	2922
342	6345	2904
343	6363	2885
344	6383	2868
345	6403	2850
346	6422	2831
347	6441	2813
348	6458	2794
349	6477	2776
350	6495	2757
351	6513	2738
352	6531	2719
353	6548	2700
354	6567	2682
355	6587	2664
356	6606	2646
357	6624	2627
358	6642	2608
359	6660	2590
360	6679	2572
361	6696	2552
362	6713	2533
363	6731	2514
364	6750	2496
365	6768	2477
366	6787	2459
367	6807	2441
368	6826	2423
369	6845	2405
370	6864	2386
371	6883	2368
372	6902	2350
373	6920	2331
374	6940	2313
375	6957	2294
376	6975	2275
377	6994	2257
378	7012	2238
379	7031	2220
380	7049	2201
381	7066	2182
382	7084	2164
383	7101	2145
384	7120	2126
385	7140	2108
386	7158	2090
387	7177	2071
388	7196	2053
389	7215	2035
390	7235	2017
391	7253	1998
392	7271	1979
393	7290	1961
394	7308	1942
395	7326	1924
396	7345	1905
397	7365	1887
398	7385	1869
399	7404	1851
400	7424	1832
401	7441	1814
402	7460	1795
403	7481	1777
404	7500	1759
405	7519	1740
406	7538	1722
407	7557	1704
408	7577	1685
409	7596	1667
410	7616	1649
411	7636	1631
412	7654	1612
413	7673	1594
414	7694	1575
415	7711	1557
416	7728	1538
417	7748	1520
418	7766	1501
419	7785	1483
420	7806	1464
421	7825	1446
422	7841	1427
423	7861	1409
424	7882	1391
425	7901	1372
426	7920	1354
427	7937	1335
428	7956	1316
429	7976	1298
430	7994	1279
431	8013	1261
432	8036	1243
433	8057	1225
434	8076	1206
435	8091	1187
436	8107	1168
437	8123	1149
438	8137	1130
439	8152	1111
440	8168	1092
441	8183	1073
442	8198	1054
443	8213	1035
444	8228	1017
445	8245	998
446	8261	979
447	8278	960
448	8297	942
449	8316	924
450	8336	905
451	8355	887
452	8375	868
453	8393	850
454	8412	832
455	8431	813
456	8449	794
457	8469	776
458	8488	758
459	8508	739
460	8527	721
461	8545	702
462	8563	684
463	8581	665
464	8602	647
465	8620	628
466	8638	610
467	8656	591
468	8674	573
469	8694	554
470	8713	536
471	8732	518
472	8752	499
473	8771	481
474	8790	462
475	8810	444
476	8828	425
477	8847	407
478	8868	388
479	8887	370
480	8907	351
481	8925	333
482	8945	314
483	8966	296
484	8984	277
485	9003	259
486	9022	240
487	9038	222
488	9057	203
489	9075	185
490	9094	166
491	9114	148
492	9131	129
493	9151	111
494	9170	92
495	9189	74
496	9208	55
497	9227	37
498	9246	18
499	9264	0
