,PolicyNumber,Month,WeekOfMonth,DayOfWeek,AccidentArea,MonthClaimed,WeekOfMonthClaimed,DayOfWeekClaimed,Sex,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,UnusualDeductible,ClaimsPerAgent,MaritalStatus,PriceToAgeRatio,PriceToAgeRatio_Capped,HighRiskVehicleFlag,ClaimAmountRisk,DaysBetween,ClaimProcessingTime
0,1,12,5,3,1,1,1,2,0,21,0,22,2,5,0,12,300,1,4,4,0,2,28,0,0,0,0,2,3,1994,2,0,15179,0,1.0986122886681098,0.6931471805599453,0,5,1,6
1,2,1,3,3,1,1,4,1,1,34,0,21,2,5,0,15,400,4,4,4,0,5,33,1,0,0,0,0,1,1994,1,0,15179,0,0.6931471805599453,0.6931471805599453,0,20,1,370
2,3,10,5,5,1,11,2,4,1,47,0,21,2,5,0,7,400,3,4,4,1,6,45,0,0,0,0,0,1,1994,1,0,15179,1,0.6190392084062234,0.6190392084062234,0,15,1,373
3,4,6,2,6,0,7,1,5,1,65,1,12,2,1,0,4,400,2,4,4,1,7,58,1,0,0,5,0,1,1994,2,0,15179,1,0.22314355131420976,0.22314355131420976,0,2,1,387
4,5,1,5,1,1,2,2,2,0,27,1,21,2,5,0,3,400,1,4,4,0,4,33,0,0,0,0,0,1,1994,1,0,15179,0,0.7884573603642702,0.6931471805599453,0,5,1,375
5,6,10,4,5,1,11,1,3,1,20,1,21,2,5,0,12,400,3,4,4,0,4,23,0,0,0,3,0,1,1994,1,0,15179,0,0.7884573603642702,0.6931471805599453,0,15,1,372
6,7,2,1,6,1,2,3,1,1,36,1,21,2,5,0,14,400,1,4,4,1,6,38,0,0,0,1,0,1,1994,1,0,15179,1,0.6190392084062234,0.6190392084062234,0,5,1,374
7,8,11,1,5,1,3,4,2,1,18,0,21,2,5,0,1,400,4,4,4,1,0,16,0,0,0,0,0,1,1994,1,0,15179,0,1.9459101490553132,0.6931471805599453,0,20,1,143
8,9,12,4,6,1,12,5,3,1,30,0,21,2,5,0,7,400,4,4,4,0,5,33,0,1,0,3,0,1,1994,1,0,15179,0,0.6931471805599453,0.6931471805599453,0,20,1,369
9,10,4,3,2,1,4,3,3,1,42,0,33,3,5,0,7,400,1,4,4,2,7,38,0,0,0,3,0,1,1994,3,0,15179,1,0.5596157879354227,0.5596157879354227,0,5,1,366
