DriverRating,AccidentArea,AgeOfVehicle,Fault,VehicleCategory,UnusualDeductible,WitnessPresent,MonthClaimed,Year,Sex,PolicyType,Deductible,ClaimProcessingTime,WeekOfMonth,RepNumber,Age,NumberOfSuppliments,ClaimAmountRisk,FraudFound_P
3,1,6,1,1,0,0,12,1994,1,11,400,373,4,5,33,3,6,1
2,1,7,0,2,0,0,3,1994,1,12,400,436,2,14,63,0,2,0
3,1,6,1,1,0,0,7,1996,1,11,400,365,1,10,34,5,3,0
2,1,6,0,1,0,0,6,1996,1,13,400,373,4,9,76,1,2,0
1,1,6,0,2,0,0,11,1995,1,12,400,367,5,15,49,0,2,0
2,1,5,0,1,0,0,11,1995,1,11,400,401,4,16,32,5,2,0
1,1,6,0,1,1,0,2,1996,1,13,500,392,1,11,37,0,5,0
3,1,7,1,1,0,0,3,1995,1,13,400,367,2,5,51,1,3,0
1,1,4,0,1,0,0,7,1994,1,11,400,370,3,1,24,1,1,0
3,1,6,0,1,0,0,11,1996,1,11,400,366,3,10,29,0,15,1
1,1,6,0,2,1,0,1,1996,1,12,500,367,3,6,62,0,1,0
3,1,7,0,1,0,0,4,1994,1,13,400,378,4,2,64,0,0,0
4,1,6,0,1,1,0,8,1994,1,11,500,365,3,14,55,1,8,0
4,1,6,0,2,0,0,6,1996,1,12,400,373,4,13,37,5,4,0
2,1,7,0,1,0,0,3,1994,1,11,400,368,4,8,58,0,2,0
1,0,6,1,1,0,0,6,1994,1,11,400,365,3,1,29,0,0,0
4,0,6,0,2,0,0,6,1994,1,12,400,365,1,14,43,0,8,0
1,1,6,1,1,0,0,2,1996,1,11,400,366,2,4,28,5,5,0
1,1,4,0,2,0,0,5,1996,1,12,400,366,2,4,30,5,1,0
1,1,6,0,1,1,0,11,1996,1,11,700,370,1,2,48,5,1,0
2,0,6,0,2,0,0,8,1994,1,12,400,369,1,4,36,5,2,0
4,1,6,0,1,0,0,10,1995,1,13,400,431,4,9,61,0,4,0
2,1,5,0,2,0,0,10,1994,0,21,400,480,4,12,40,0,10,0
2,0,7,1,2,0,0,8,1995,1,12,400,366,5,1,39,5,4,0
4,1,6,1,1,0,0,7,1996,1,13,400,364,5,12,33,0,4,0
2,1,5,1,2,0,0,4,1994,1,12,400,374,2,11,27,0,2,0
4,1,4,0,1,0,0,3,1996,1,13,400,375,1,3,32,0,4,0
2,1,7,0,1,0,0,11,1996,1,13,400,366,3,12,74,5,2,0
2,0,7,0,1,0,0,10,1994,1,13,400,500,3,4,67,5,4,0
1,0,5,1,1,0,0,4,1995,1,13,400,362,1,2,33,0,0,0
4,1,0,0,1,0,0,2,1994,1,13,400,376,2,8,19,0,20,0
1,1,7,0,1,0,0,6,1994,1,11,400,377,2,5,46,1,2,0
4,1,5,0,1,0,0,3,1994,0,11,400,361,4,10,39,0,4,0
3,1,5,0,2,0,0,11,1996,1,12,400,365,4,11,35,3,6,0
4,1,6,0,1,0,0,10,1994,0,11,400,372,3,11,30,3,4,0
4,1,4,0,1,0,0,9,1994,1,13,400,395,1,8,40,0,4,0
4,1,4,1,1,0,0,10,1995,1,11,400,394,2,5,35,0,4,0
1,0,6,0,1,0,0,11,1995,1,11,400,370,1,2,54,0,2,0
3,1,5,1,1,0,0,5,1994,1,13,400,370,3,5,33,5,3,0
3,1,7,1,1,0,0,4,1995,0,13,400,365,3,15,60,1,0,0
1,1,6,0,1,0,0,10,1996,1,11,400,366,3,11,36,3,1,0
2,1,6,0,1,0,0,10,1994,1,13,400,378,3,3,26,3,2,0
3,1,7,0,1,0,0,10,1994,1,13,400,402,4,8,62,3,3,0
1,1,7,0,2,0,0,9,1996,1,12,400,360,3,2,62,5,2,0
2,1,4,0,1,0,0,12,1995,0,11,400,365,3,12,26,5,4,0
1,1,7,0,2,0,0,11,1994,1,12,400,362,5,1,63,0,1,0
1,1,5,1,1,0,0,9,1995,1,13,400,367,2,2,30,0,1,0
1,1,7,0,3,0,0,12,1996,1,33,400,372,1,10,63,5,3,0
3,1,5,0,2,0,0,2,1994,0,12,400,370,5,5,28,3,3,0
3,1,6,1,2,0,0,12,1996,0,12,400,365,3,15,44,0,3,0
2,1,6,1,1,0,0,8,1994,1,11,400,393,1,5,43,1,2,0
1,1,6,1,1,0,0,10,1996,1,13,400,369,3,5,30,0,1,0
2,1,5,0,2,0,0,3,1994,1,12,400,374,4,4,33,5,2,0
3,1,5,0,1,0,0,4,1995,1,13,400,367,5,10,79,3,15,0
2,1,7,0,1,0,0,2,1994,1,11,400,368,3,1,54,0,2,0
4,1,6,1,1,1,0,6,1996,1,13,700,372,2,16,54,0,4,0
3,1,7,0,1,0,0,3,1996,1,11,400,374,2,5,46,5,6,0
1,1,5,1,1,0,0,5,1994,1,11,400,430,2,4,27,0,2,0
4,1,5,0,2,0,0,11,1996,0,12,400,366,3,8,26,0,4,0
4,1,6,0,2,0,0,4,1996,1,12,400,373,4,14,43,0,20,0
3,1,6,0,1,0,0,11,1996,1,11,400,360,4,13,57,1,0,0
3,1,5,0,1,0,0,4,1996,1,11,400,360,1,4,28,1,3,0
2,1,6,0,1,0,0,7,1994,1,13,400,366,4,5,36,5,2,0
2,1,7,0,2,0,0,9,1996,1,12,400,466,2,1,63,5,4,0
4,1,5,0,1,0,0,5,1994,1,11,400,365,5,11,64,5,4,0
1,1,6,0,2,0,0,7,1996,1,12,400,366,3,10,53,3,2,0
4,1,6,0,2,0,0,8,1996,0,12,400,365,2,4,52,1,20,0
1,1,7,0,1,0,0,12,1995,1,11,400,375,2,11,50,5,2,0
3,1,6,0,1,0,0,6,1994,1,11,400,374,1,5,43,0,9,1
4,0,7,0,1,0,0,2,1994,1,11,400,398,4,8,58,0,0,0
4,1,6,1,1,0,0,5,1996,1,13,400,372,2,14,32,0,4,0
1,1,6,1,2,1,0,12,1994,0,12,500,376,1,10,27,5,2,0
1,1,3,1,1,0,0,7,1994,1,11,400,374,4,8,23,1,1,0
2,0,6,0,1,0,0,7,1995,0,13,400,374,4,7,43,5,0,0
4,1,7,0,1,0,0,7,1995,1,11,400,359,4,12,80,0,4,0
3,1,5,0,2,0,0,11,1996,1,12,400,361,4,10,27,5,3,0
4,1,5,1,1,0,0,6,1995,0,13,400,367,3,7,55,3,4,0
3,1,7,0,2,0,0,11,1996,1,12,400,406,2,14,42,5,6,0
3,1,6,0,1,0,0,12,1994,1,11,400,365,3,12,35,0,3,0
4,1,6,0,2,0,0,7,1994,1,12,400,360,2,6,53,5,8,0
4,1,0,1,2,0,0,10,1996,1,21,400,366,4,11,24,0,20,1
2,1,6,1,1,0,0,4,1994,1,13,400,361,4,14,30,0,2,0
4,1,5,0,1,0,0,4,1996,1,11,400,365,3,13,26,0,4,0
4,1,6,1,2,0,0,5,1996,0,12,400,367,1,9,36,0,4,0
3,1,6,0,1,0,0,9,1996,1,11,400,367,5,6,27,5,6,0
2,1,6,1,1,0,0,10,1994,1,11,400,367,4,16,31,3,2,0
3,1,5,0,1,0,0,9,1995,0,11,400,365,3,3,36,0,3,0
1,1,7,0,2,0,0,7,1995,1,12,400,369,3,2,55,0,3,0
4,1,6,1,1,0,0,7,1995,1,11,400,373,3,12,31,3,8,0
3,1,7,1,1,0,0,6,1995,1,13,400,365,5,5,48,0,6,0
3,1,5,0,1,0,0,4,1994,0,11,400,361,2,16,34,3,3,0
1,0,7,0,1,0,0,3,1994,1,13,400,363,3,7,43,0,5,0
