Month,DayOfWeek,MonthClaimed,DayOfWeekClaimed,Age,Fault,PolicyType,VehicleCategory,PastNumberOfClaims,AgeOfVehicle,NumberOfSuppliments,AddressChange_Claim,Year,BasePolicy,UnusualDeductible,PriceToAgeRatio,PriceToAgeRatio_Capped,ClaimProcessingTime,FraudFound_P
5.0,5.0,5.0,2.0,42.0,0.0,11.0,1.0,2.0,6.0,5.0,0.0,1996.0,1.0,0.0,0.2513144282809061,0.2513144282809061,376.0,1
11.0,6.0,11.0,1.0,33.0,1.0,11.0,1.0,2.0,6.0,0.0,0.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,360.0,0
3.0,4.0,3.0,4.0,40.0,0.0,12.0,2.0,3.0,6.0,1.0,0.0,1995.0,2.0,0.0,0.2513144282809061,0.2513144282809061,379.0,0
4.0,7.0,4.0,1.0,29.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,359.0,0
3.0,3.0,3.0,3.0,72.0,0.0,11.0,1.0,0.0,7.0,1.0,0.0,1996.0,1.0,0.0,0.22314355131420976,0.22314355131420976,365.0,0
4.0,3.0,4.0,5.0,43.0,0.0,11.0,1.0,2.0,6.0,3.0,0.0,1994.0,1.0,0.0,0.35667494393873234,0.35667494393873234,381.0,0
12.0,6.0,12.0,1.0,41.0,0.0,12.0,2.0,2.0,7.0,5.0,2.0,1994.0,2.0,0.0,0.3184537311185346,0.3184537311185346,360.0,0
5.0,4.0,6.0,1.0,50.0,0.0,33.0,3.0,0.0,7.0,5.0,0.0,1994.0,3.0,0.0,0.5596157879354227,0.5596157879354227,378.0,0
7.0,1.0,7.0,2.0,47.0,0.0,12.0,2.0,2.0,6.0,3.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,366.0,0
6.0,7.0,6.0,4.0,41.0,0.0,13.0,1.0,2.0,6.0,1.0,0.0,1994.0,3.0,0.0,0.2513144282809061,0.2513144282809061,369.0,1
2.0,1.0,3.0,2.0,27.0,0.0,12.0,2.0,3.0,6.0,1.0,0.0,1995.0,2.0,0.0,0.35667494393873234,0.35667494393873234,368.0,0
3.0,5.0,4.0,4.0,32.0,1.0,11.0,1.0,0.0,4.0,0.0,0.0,1994.0,1.0,0.0,0.33647223662121295,0.33647223662121295,380.0,0
5.0,1.0,6.0,4.0,22.0,0.0,11.0,1.0,0.0,2.0,3.0,0.0,1995.0,1.0,0.0,0.5108256237659907,0.5108256237659907,370.0,0
1.0,5.0,2.0,1.0,29.0,1.0,13.0,1.0,1.0,5.0,0.0,0.0,1994.0,3.0,0.0,0.4054651081081644,0.4054651081081644,370.0,0
2.0,7.0,2.0,2.0,47.0,0.0,11.0,1.0,0.0,6.0,0.0,0.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,367.0,0
10.0,6.0,11.0,3.0,44.0,0.0,11.0,1.0,0.0,6.0,0.0,0.0,1994.0,1.0,0.0,0.35667494393873234,0.35667494393873234,378.0,0
