Month,WeekOfMonth,DayOfWeek,AccidentArea,MonthClaimed,WeekOfMonthClaimed,DayOfWeekClaimed,Sex,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,UnusualDeductible,ClaimsPerAgent,MaritalStatus,PriceToAgeRatio,PriceToAgeRatio_Capped,HighRiskVehicleFlag,ClaimAmountRisk,DaysBetween,ClaimProcessingTime,FraudFound_P
5,2,5,1,5,4,2,1,42,0,11,1,1,9,400,1,4,4,2,6,38,0,0,0,5,0,1,1996,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,376,1
11,4,6,1,11,4,1,1,33,1,11,1,1,16,400,1,4,4,2,6,33,0,0,0,0,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,360,0
3,1,4,1,3,3,4,0,40,0,12,2,1,10,400,1,4,4,3,6,38,0,0,0,1,0,1,1995,2,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,379,0
4,4,7,1,4,4,1,0,29,0,12,2,1,10,400,4,4,4,2,6,33,0,0,0,0,0,1,1996,2,0,15179,0,0.2513144282809061,0.2513144282809061,0,4,1,359,0
3,5,3,1,3,5,3,1,72,0,11,1,1,3,400,2,4,4,0,7,70,0,0,0,1,0,1,1996,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,2,1,365,0
4,2,3,1,4,4,5,1,43,0,11,1,2,11,400,1,4,4,2,6,38,0,0,0,3,0,1,1994,1,0,15179,1,0.35667494393873234,0.35667494393873234,0,2,1,381,0
12,1,6,1,12,1,1,1,41,0,12,2,2,8,400,3,4,4,2,7,38,0,0,0,5,2,1,1994,2,0,15179,1,0.3184537311185346,0.3184537311185346,0,6,1,360,0
5,4,4,1,6,2,1,1,50,0,33,3,5,12,400,3,4,4,0,7,45,0,0,0,5,0,1,1994,3,0,15179,0,0.5596157879354227,0.5596157879354227,0,15,1,378,0
7,3,1,1,7,3,2,0,47,0,12,2,1,14,400,1,4,4,2,6,45,0,0,0,3,0,1,1996,2,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,366,0
6,1,7,0,6,2,4,1,41,0,13,1,1,6,400,2,4,4,2,6,38,0,0,0,1,0,1,1994,3,0,15179,1,0.2513144282809061,0.2513144282809061,0,2,1,369,1
2,5,1,1,3,1,2,1,27,0,12,2,2,4,400,1,4,4,3,6,33,0,0,0,1,0,1,1995,2,0,15179,1,0.35667494393873234,0.35667494393873234,0,2,1,368,0
3,5,5,1,4,3,4,1,32,1,11,1,1,15,400,3,4,4,0,4,33,0,0,0,0,0,1,1994,1,0,15179,0,0.33647223662121295,0.33647223662121295,0,3,1,380,0
